Size, Seq, Par, Libc
100, 0.000024, 0.051047, 0.000009
100, 0.000009, 0.021537, 0.000009
100, 0.000009, 0.019883, 0.000009
100, 0.000009, 0.024245, 0.000009
100, 0.000009, 0.017036, 0.000009
1000, 0.000130, 0.072189, 0.000117
1000, 0.000118, 0.055759, 0.000117
1000, 0.000118, 0.053796, 0.000119
1000, 0.000117, 0.068846, 0.000110
1000, 0.000114, 0.032071, 0.000116
10000, 0.001515, 0.082607, 0.001398
10000, 0.001476, 0.130922, 0.001413
10000, 0.001472, 0.097768, 0.001366
10000, 0.001472, 0.081288, 0.001432
10000, 0.001502, 0.064774, 0.001564
100000, 0.019670, 0.097305, 0.017311
100000, 0.018530, 0.095421, 0.017510
100000, 0.018451, 0.091690, 0.017454
100000, 0.018443, 0.090559, 0.017537
100000, 0.018523, 0.081550, 0.017644
200000, 0.038850, 0.169739, 0.037104
200000, 0.039412, 0.101315, 0.037266
200000, 0.038594, 0.098906, 0.037323
200000, 0.038068, 0.108729, 0.037396
200000, 0.037945, 0.096915, 0.037662
400000, 0.080639, 0.120754, 0.078740
400000, 0.080591, 0.174201, 0.079598
400000, 0.080325, 0.115567, 0.078472
400000, 0.080808, 0.113719, 0.078743
400000, 0.082124, 0.140620, 0.078409
600000, 0.126343, 0.147700, 0.121201
600000, 0.125729, 0.148916, 0.121383
600000, 0.123480, 0.138776, 0.121933
600000, 0.124213, 0.154957, 0.120418
600000, 0.123823, 0.174193, 0.122006
800000, 0.170946, 0.194401, 0.164626
800000, 0.170123, 0.182198, 0.164169
800000, 0.170060, 0.183339, 0.163930
800000, 0.170637, 0.240490, 0.165970
800000, 0.170485, 0.202166, 0.163614
1000000, 0.213635, 0.212774, 0.222548
1000000, 0.213250, 0.215759, 0.207817
1000000, 0.217293, 0.243977, 0.209081
1000000, 0.217119, 0.237551, 0.209576
1000000, 0.212756, 0.230286, 0.207401
